"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2016","1,750.48","1,760.84","1,761.93","1,750.48","","-0.57%"
"12/27/2016","1,760.56","1,758.09","1,763.10","1,757.34","","0.12%"
"12/26/2016","1,758.48","1,758.83","1,759.34","1,758.45","","-0.04%"
"12/23/2016","1,759.15","1,756.97","1,759.15","1,755.94","","0.08%"
"12/22/2016","1,757.83","1,759.66","1,760.60","1,754.85","","-0.13%"
"12/21/2016","1,760.09","1,762.44","1,764.10","1,760.00","","-0.08%"
"12/20/2016","1,761.43","1,757.42","1,762.79","1,755.66","","0.15%"
"12/19/2016","1,758.82","1,756.98","1,761.43","1,755.35","","0.23%"
"12/16/2016","1,754.74","1,755.61","1,760.06","1,754.74","","0.01%"
"12/15/2016","1,754.51","1,754.32","1,759.64","1,748.58","","-0.52%"
"12/14/2016","1,763.72","1,773.33","1,775.31","1,752.61","","-0.58%"
"12/13/2016","1,774.01","1,761.97","1,776.35","1,760.79","","0.78%"
"12/12/2016","1,760.25","1,760.37","1,765.28","1,758.28","","0.01%"
"12/09/2016","1,760.12","1,753.77","1,760.67","1,753.13","","0.41%"
"12/08/2016","1,752.94","1,749.44","1,756.18","1,748.39","","0.21%"
"12/07/2016","1,749.31","1,727.32","1,749.31","1,727.20","","1.24%"
"12/06/2016","1,727.82","1,720.32","1,727.82","1,719.94","","0.57%"
"12/05/2016","1,718.10","1,706.82","1,722.31","1,704.72","","0.54%"
"12/02/2016","1,708.94","1,709.95","1,713.31","1,704.82","","0.02%"
"12/01/2016","1,708.64","1,711.76","1,715.93","1,707.85","","-0.20%"
"11/30/2016","1,712.09","1,716.58","1,721.49","1,711.52","","-0.19%"
"11/29/2016","1,715.42","1,714.28","1,719.90","1,709.48","","0.14%"
"11/28/2016","1,712.98","1,720.90","1,725.28","1,712.87","","-0.46%"
"11/25/2016","1,720.84","1,712.83","1,721.15","1,712.81","","0.44%"
"11/24/2016","1,713.27","1,710.92","1,713.77","1,710.29","","0.21%"
"11/23/2016","1,709.71","1,714.23","1,716.32","1,704.30","","-0.20%"
"11/22/2016","1,713.07","1,710.83","1,716.00","1,709.88","","0.15%"
"11/21/2016","1,710.49","1,697.70","1,711.76","1,697.47","","0.77%"
"11/18/2016","1,697.35","1,703.61","1,705.21","1,696.94","","-0.56%"
"11/17/2016","1,706.98","1,700.24","1,706.98","1,698.86","","0.50%"
"11/16/2016","1,698.41","1,702.23","1,705.76","1,696.55","","-0.20%"
"11/15/2016","1,701.82","1,693.66","1,702.47","1,692.04","","0.56%"
"11/14/2016","1,692.31","1,696.15","1,699.00","1,688.80","","-0.28%"
"11/11/2016","1,696.99","1,702.02","1,705.34","1,689.49","","-0.25%"
"11/10/2016","1,701.29","1,694.56","1,712.70","1,692.86","","0.28%"
"11/09/2016","1,696.46","1,690.55","1,698.00","1,674.91","","0.28%"
"11/08/2016","1,691.74","1,686.41","1,694.49","1,681.31","","0.36%"
"11/07/2016","1,685.62","1,657.55","1,686.56","1,657.06","","1.54%"
"11/04/2016","1,660.12","1,667.63","1,667.63","1,658.17","","-0.41%"
"11/03/2016","1,667.03","1,671.85","1,675.35","1,666.13","","-0.35%"
"11/02/2016","1,672.83","1,685.22","1,685.25","1,671.01","","-0.66%"
"11/01/2016","1,683.96","1,691.60","1,696.15","1,678.67","","-0.41%"
"10/31/2016","1,690.92","1,693.57","1,694.93","1,688.96","","0.00%"
"10/28/2016","1,690.96","1,693.50","1,698.62","1,690.46","","-0.22%"
"10/27/2016","1,694.66","1,699.15","1,702.30","1,693.46","","-0.31%"
"10/26/2016","1,699.92","1,703.13","1,703.73","1,694.92","","-0.08%"
"10/25/2016","1,701.20","1,706.02","1,709.81","1,700.57","","-0.30%"
"10/24/2016","1,706.24","1,701.38","1,710.22","1,699.80","","0.30%"
"10/21/2016","1,701.16","1,704.08","1,704.22","1,695.13","","-0.17%"
"10/20/2016","1,704.04","1,706.56","1,708.65","1,699.50","","-0.16%"
"10/19/2016","1,706.74","1,701.49","1,708.37","1,700.94","","0.33%"
"10/18/2016","1,701.10","1,688.98","1,704.23","1,688.78","","0.79%"
"10/17/2016","1,687.84","1,692.64","1,693.77","1,687.84","","-0.35%"
"10/14/2016","1,693.71","1,690.68","1,704.20","1,689.32","","0.24%"
"10/13/2016","1,689.62","1,695.12","1,695.83","1,678.36","","-0.35%"
"10/12/2016","1,695.54","1,700.55","1,701.32","1,693.13","","-0.28%"
"10/11/2016","1,700.33","1,718.62","1,719.23","1,695.91","","-1.10%"
"10/10/2016","1,719.29","1,712.76","1,722.48","1,710.05","","0.40%"
"10/07/2016","1,712.40","1,717.75","1,720.05","1,705.94","","-0.35%"
"10/06/2016","1,718.40","1,721.75","1,723.48","1,713.31","","-0.16%"
"10/05/2016","1,721.14","1,718.18","1,723.96","1,715.87","","0.19%"
"10/04/2016","1,717.82","1,722.97","1,727.05","1,714.73","","-0.29%"
"10/03/2016","1,722.82","1,724.79","1,728.44","1,719.72","","-0.17%"
